source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[synthetic peptide]	assay name	technology type	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[enrichment method]	comment[data file]	factor value[synthetic peptide]
PXD000759-Sample-211	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	118	synthetic	run 211	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib65_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib65_direct.raw	synthetic
PXD000759-Sample-212	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	119	synthetic	run 212	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib36_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib36_direct.raw	synthetic
PXD000759-Sample-213	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	120	synthetic	run 213	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib47_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib47_IMAC.raw	synthetic
PXD000759-Sample-214	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	121	synthetic	run 214	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib86_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib86_IMAC.raw	synthetic
PXD000759-Sample-216	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	122	synthetic	run 216	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib06_IMAC_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib06_IMAC_2.raw	synthetic
PXD000759-Sample-217	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	123	synthetic	run 217	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib44_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib44_direct.raw	synthetic
PXD000759-Sample-218	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	124	synthetic	run 218	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib64_direct_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib64_direct_2.raw	synthetic
PXD000759-Sample-219	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	125	synthetic	run 219	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib83_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib83_IMAC.raw	synthetic
PXD000759-Sample-22	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	126	synthetic	run 22	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib39_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib39_IMAC.raw	synthetic
PXD000759-Sample-220	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	127	synthetic	run 220	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib94_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib94_direct.raw	synthetic
PXD000759-Sample-221	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	128	synthetic	run 221	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib48_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib48_direct.raw	synthetic
PXD000759-Sample-222	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	129	synthetic	run 222	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib43_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib43_TiO2.raw	synthetic
PXD000759-Sample-224	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	130	synthetic	run 224	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib50_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib50_TiO2.raw	synthetic
PXD000759-Sample-225	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	131	synthetic	run 225	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib62_IMAC_2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib62_IMAC_2.raw	synthetic
PXD000759-Sample-226	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	132	synthetic	run 226	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib74_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	lib74_TiO2.raw	synthetic
PXD000759-Sample-227	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	133	synthetic	run 227	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib54_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib54_direct.raw	synthetic
PXD000759-Sample-228	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	134	synthetic	run 228	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib05_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib05_TiO2.raw	synthetic
PXD000759-Sample-229	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	135	synthetic	run 229	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib72_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib72_IMAC.raw	synthetic
PXD000759-Sample-23	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	136	synthetic	run 23	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib15_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib15_direct.raw	synthetic
PXD000759-Sample-230	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	137	synthetic	run 230	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib93_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib93_direct.raw	synthetic
PXD000759-Sample-231	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	138	synthetic	run 231	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib92_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	lib92_TiO2.raw	synthetic
PXD000759-Sample-232	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	139	synthetic	run 232	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib12_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib12_IMAC.raw	synthetic
PXD000759-Sample-233	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	140	synthetic	run 233	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib90_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	lib90_TiO2.raw	synthetic
PXD000759-Sample-234	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	141	synthetic	run 234	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib21_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib21_direct.raw	synthetic
PXD000759-Sample-235	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	142	synthetic	run 235	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib93_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib93_IMAC.raw	synthetic
PXD000759-Sample-236	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	143	synthetic	run 236	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib83_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib83_direct.raw	synthetic
PXD000759-Sample-237	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	144	synthetic	run 237	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib41_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TiO2	lib41_TiO2.raw	synthetic
PXD000759-Sample-238	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	145	synthetic	run 238	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib26_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib26_IMAC.raw	synthetic
PXD000759-Sample-239	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	146	synthetic	run 239	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib30_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib30_direct.raw	synthetic
PXD000759-Sample-24	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	147	synthetic	run 24	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib47_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib47_direct.raw	synthetic
PXD000759-Sample-240	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	148	synthetic	run 240	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib68_TiO2.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	TIO2	lib68_TiO2.raw	synthetic
PXD000759-Sample-241	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	149	synthetic	run 241	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib67_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib67_direct.raw	synthetic
PXD000759-Sample-242	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	150	synthetic	run 242	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib40_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib40_IMAC.raw	synthetic
PXD000759-Sample-243	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	151	synthetic	run 243	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib16_IMAC.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	lib16_IMAC.raw	synthetic
PXD000759-Sample-244	Homo sapiens	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	enrichment of phosphorylated Protein	152	synthetic	run 244	proteomic profiling by mass spectrometry	https://ftp.ebi.ac.uk/pride-archive/2014/08/PXD000759/lib46_direct.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	"NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable"	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	not applicable	lib46_direct.raw	synthetic
