cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
LN-215	Homo sapiens	central nervous system	astrocytoma	no available	no available	no available	no available	no available
LN-18	Homo sapiens	central nervous system	glioblastoma; glioma	not available	no available	not available	no available	no available
LMSU	Homo sapiens	stomach	gastric carcinoma	no available	no available	no available	no available	no available
LK-2	Homo sapiens	lung	squamous cell lung carcinoma	no available	no available	no available	no available	no available
IM95	Homo sapiens	stomach	gastric adenocarcinoma	no available	no available	no available	no available	no available
IMR-32	Homo sapiens	autonomic ganglion; brain	neuroblastoma	1 year		male	no available	
IGR-39	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
IGROV1	Homo sapiens	ovary	ovarian endometrioid adenocarcinoma; ovarian cancer	no available	no available	no available	no available	no available
IGR-1	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
IGR-37	Homo sapiens	skin	melanoma	26 year	no available	male	no available	no available
HuTu 80	Homo sapiens	small intestine	duodenal adenocarcinoma	no available	no available	no available	no available	no available
IA-LM	Homo sapiens	lung	large cell lung carcinoma	no available	no available	no available	no available	no available
HuT 102	Homo sapiens	hematopoietic system and lymphoid system	mycosis fungoides	no available	no available	no available	no available	no available
HuT 78	Homo sapiens	hematopoietic system and lymphoid system	mycosis fungoides	no available	no available	no available	no available	no available
SLR26	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
SNB75	Homo sapiens	central nervous system	glioblastoma; central nervous system cancer	no available	no available	no available	no available	no available
SW 900	Homo sapiens	lung	squamous cell lung carcinoma; non-small cell lung carcinoma	not available	no available	male	no available	no available
SW837	Homo sapiens	large intestine	rectal adenocarcinoma; colorectal adenocarcinoma	no available	no available	male	no available	no available
T1-73	Homo sapiens	fibroblast	osteosarcoma	no available	no available	no available	no available	no available
SW948	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	no available	no available	female	no available	no available
T3M-10	Homo sapiens	lung	large cell lung carcinoma	no available	no available	no available	no available	no available
T24	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
SKNEP1	Homo sapiens	bone	Ewing sarcoma	no available	no available	no available	no available	no available
SKNO-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	no available	no available	no available	no available	no available
SK-UT-1	Homo sapiens	soft tissue	uterine leiomyosarcoma	no available	no available	no available	no available	no available
SLR20	Homo sapiens	kidney	bladder carcinoma	no available	no available	no available	no available	no available
SLR21	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
SLR23	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
SLR24	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
SLR25	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
ONS-76	Homo sapiens	central nervous system	medulloblastoma	no available	no available	no available	no available	no available
FTC-238	Homo sapiens	thyroid gland	follicular thyroid carcinoma	no available	no available	no available	no available	no available
FTC-133	Homo sapiens	thyroid gland	follicular thyroid carcinoma	no available	no available	no available	no available	no available
OVCAR-4	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian adenocarcinoma	not available	no available	female	no available	no available
OVCAR-8	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian adenocarcinoma	not available	no available	female	no available	no available
LN-340	Homo sapiens	central nervous system	glioblastoma	no available	no available	no available	no available	no available
OV7	Homo sapiens	ovary	ovarian carcinoma	78 year	no available	female	no available	no available
OV-90	Homo sapiens	ovary	ovarian adenocarcinoma; ovarian papillary serous adenocarcinoma	not available	no available	female	no available	no available
OUMS-23	Homo sapiens	large intestine	colon carcinoma; colon adenocarcinoma	not available	no available	male	no available	no available
OV56	Homo sapiens	ovary	ovarian serous adenocarcinoma; ovarian carcinoma	46 year	no available	female	no available	no available
OPM-2	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	56 year	no available	female	no available	no available
OS-RC-2	Homo sapiens	kidney	renal cell carcinoma	no available	no available	no available	no available	no available
OVISE	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	40 year	adult	female	no available	no available
OVK18	Homo sapiens	ovary	ovarian endometrioid adenocarcinoma	no available	no available	no available	no available	no available
Hs 863.T	Homo sapiens	fibroblast	Ewing sarcoma	no available	no available	no available	no available	no available
Hs 852.T	Homo sapiens	skin	melanoma	not available	no available	not available	no available	no available
Hs 888.T	Homo sapiens	fibroblast	osteosarcoma	no available	no available	no available	no available	no available
Hs 870.T	Homo sapiens	fibroblast	osteosarcoma	no available	no available	no available	no available	no available
Hs 934.T	Homo sapiens	fibroblast	melanoma	no available	no available	no available	no available	no available
Hs 895.T	Homo sapiens	fibroblast	melanoma	48 year	no available	female	no available	no available
Hs 939.T	Homo sapiens	skin	melanoma	no available	no available	no available	no available	no available
Hs 936.T	Homo sapiens	skin	melanoma	not available	no available	not available	no available	no available
Hs 944.T	Homo sapiens	skin	cutaneous melanoma	no available	no available	no available	no available	no available
Hs 940.T	Homo sapiens	fibroblast	cutaneous melanoma; melanoma	not available	no available	not available	no available	no available
HCC2157	Homo sapiens	breast	breast ductal adenocarcinoma	48 year	no available	female	no available	no available
SW579	Homo sapiens	thyroid gland	thyroid gland squamous cell carcinoma	no available	no available	no available	no available	no available
DMS 79	Homo sapiens	lung	small cell lung carcinoma	65 year	no available	not available	no available	no available
TUHR4TKB	Homo sapiens	kidney	renal cell carcinoma	no available	no available	no available	no available	no available
TYK-nu	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian carcinoma	not available	adult	not available; female	no available	no available
U266B1	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	no available	not available	no available	no available
HCC364	Homo sapiens	lung	lung adenocarcinoma	76 year	no available	male	no available	no available
NCI-H1299	Homo sapiens	lung	large cell lung carcinoma; non-small cell lung carcinoma	43 year; 43	adult	male	no available	
NCI-H1339	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
HCC-33	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H1184	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
KMRC-1	Homo sapiens	kidney	clear cell renal carcinoma	no available	no available	no available	no available	no available
KMM-1	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	62 year	no available	male	no available	no available
NCI-H1341	Homo sapiens	lung	small cell lung carcinoma	no available	no available	no available	no available	no available
NCI-H1355	Homo sapiens	lung	lung adenocarcinoma	53 year	no available	male	no available	no available
KLE	Homo sapiens	endometrium	endometrium adenocarcinoma; uterine adenocarcinoma	64 year	no available	female	no available	no available
KM-H2	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	no available	no available	no available	no available	no available
KMBC-2	Homo sapiens	urinary tract	bladder carcinoma	no available	no available	no available	no available	no available
KG-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; leukemia	not available	no available	not available	no available	no available
KG-1-C	Homo sapiens	central nervous system	oligodendroglioma	no available	no available	no available	no available	no available
Ki-JK	Homo sapiens	hematopoietic system and lymphoid system	anaplastic large cell lymphoma	no available	no available	no available	no available	no available
KHM-1B	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	no available	not available	no available	no available
JHH-7	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
JHOC-5	Homo sapiens	ovary	ovarian clear cell adenocarcinoma	no available	no available	no available	no available	no available
JHOM-1	Homo sapiens	ovary	ovarian mucinous adenocarcinoma	no available	no available	no available	no available	no available
JHOM-2B	Homo sapiens	ovary	ovarian mucinous adenocarcinoma	no available	no available	no available	no available	no available
JHH-2	Homo sapiens	liver	hepatocellular carcinoma	not available	no available	not available	no available	no available
