cell line	synonyms	organism part	disease	sampling site	cancer type detail	cellosaurus accession	organism	sex	ancestry category	age	model_id	sample_id	patient_id
A3-KAW	A3/Kawakami	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Ascites	Diffuse Large B-Cell Lymphoma	CVCL_1062	Homo Sapiens	Female	East Asian	68	SIDM00495	SIDS00946	SIDP00846
A4-Fuk	A4/Fukuda	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Ascites	Adult B Acute Lymphoblastic Leukemia	CVCL_1064	Homo Sapiens	Female	East Asian	52	SIDM00502	SIDS00947	SIDP00847
ABC-1	no available	Lung	Non-Small Cell Lung Carcinoma	Pleural effusion	Lung Adenocarcinoma	CVCL_1066	Homo Sapiens	Male	Unknown	47	SIDM00494	SIDS00948	SIDP00848
AM-38	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1070	Homo Sapiens	Male	Unknown	36	SIDM00492	SIDS00949	SIDP00849
BICR78	no available	Head and Neck	Oral Cavity Carcinoma	Oral Aveolus	Oral Cavity Squamous Cell Carcinoma	CVCL_2315	Homo Sapiens	Male	White	no available	SIDM00501	SIDS00940	SIDP00840
COLO-800	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_1135	Homo Sapiens	Male	Unknown	14	SIDM00515	SIDS00888	SIDP00792
COR-L105	no available	Lung	Non-Small Cell Lung Carcinoma	Pleural effusion	Lung Adenocarcinoma	CVCL_1138	Homo Sapiens	Male	White	no available	SIDM00513	SIDS00890	SIDP00793
COR-L23	L23/P	Lung	Non-Small Cell Lung Carcinoma	Pleural effusion	Large Cell Lung Carcinoma	CVCL_1139	Homo Sapiens	Male	White	62	SIDM00512	SIDS00891	SIDP00794
COR-L303	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_2411	Homo Sapiens	Female	Unknown	no available	SIDM00510	SIDS00893	SIDP00796
COR-L321	no available	Lung	Other Solid Cancers	Unknown	Lung Carcinoma	CVCL_2414	Homo Sapiens	Female	Unknown	58	SIDM00507	SIDS00896	SIDP00799
COR-L32	no available	Lung	Squamous Cell Lung Carcinoma	Bone Marrow	Squamous Cell Lung Carcinoma	CVCL_2413	Homo Sapiens	Unknown	Unknown	no available	SIDM00508	SIDS00895	SIDP00798
COR-L88	no available	Lung	Small Cell Lung Carcinoma	Pleural effusion	Small Cell Lung Carcinoma	CVCL_1141	Homo Sapiens	Male	White	55	SIDM00506	SIDS00897	SIDP00800
D-392MG	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1158	Homo Sapiens	Female	Unknown	no available	SIDM00542	SIDS00574	SIDP00507
DMS-273	no available	Lung	Small Cell Lung Carcinoma	Pleural effusion	Small Cell Lung Carcinoma	CVCL_1176	Homo Sapiens	Female	Unknown	50	SIDM00522	SIDS00899	SIDP00802
DMS-53	no available	Lung	Small Cell Lung Carcinoma	Unknown	Small Cell Lung Carcinoma	CVCL_1177	Homo Sapiens	Male	White	54	SIDM00523	SIDS00900	SIDP00803
DOK	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Oral Dysplasia	CVCL_1180	Homo Sapiens	Male	White	57	SIDM00540	SIDS00902	SIDP00805
FU97	no available	Stomach	Gastric Carcinoma	Unknown	Gastric Adenocarcinoma	CVCL_2908	Homo Sapiens	Female	East Asian	66	SIDM00503	SIDS00956	SIDP00856
GAK	no available	Skin	Melanoma	Inguinal lymph node	Vulvar Melanoma	CVCL_1225	Homo Sapiens	Female	East Asian	86	SIDM00543	SIDS00957	SIDP00857
GOTO	no available	Peripheral Nervous System	Neuroblastoma	Adrenal Gland	Neuroblastoma	CVCL_1234	Homo Sapiens	Male	Unknown	no available	SIDM00544	SIDS00959	SIDP00859
NCI-H2818	no available	Lung	Mesothelioma	Unknown	Pleural Epithelioid Mesothelioma	CVCL_V000	Homo Sapiens	Male	Unknown	no available	SIDM00520	SIDS00883	SIDP00787
NCI-H2869	no available	Lung	Mesothelioma	Unknown	Pleural Biphasic Mesothelioma	CVCL_V001	Homo Sapiens	Male	Unknown	no available	SIDM00519	SIDS00884	SIDP00788
NCI-H290	H290: H-290;HUT-290	Lung	Mesothelioma	Unknown	Malignant Pleural Mesothelioma	CVCL_A555	Homo Sapiens	Male	Unknown	no available	SIDM00518	SIDS00885	SIDP00789
NCI-H3118	no available	Head and Neck	Head and Neck Carcinoma	Unknown	Parotid Gland Mucoepidermoid Carcinoma	CVCL_A464	Homo Sapiens	Female	Unknown	no available	SIDM00517	SIDS00886	SIDP00790
HTC-C3	no available	Thyroid	Thyroid Gland Carcinoma	Pleural Fluid	Thyroid Gland Anaplastic Carcinoma	CVCL_1295	Homo Sapiens	Female	East Asian	44	SIDM00496	SIDS00945	SIDP00845
HuP-T3	no available	Pancreas	Pancreatic Carcinoma	Ascites	Pancreatic Adenocarcinoma	CVCL_1299	Homo Sapiens	Male	East Asian	66	SIDM00533	SIDS00909	SIDP00812
HuP-T4	no available	Pancreas	Pancreatic Carcinoma	Ascites	Pancreatic Adenocarcinoma	CVCL_1300	Homo Sapiens	Male	East Asian	60	SIDM00531	SIDS00910	SIDP00813
KP-N-YN	no available	Peripheral Nervous System	Neuroblastoma	Pararenal lymph node	Neuroblastoma	CVCL_1341	Homo Sapiens	Male	Unknown	no available	SIDM00556	SIDS01002	SIDP00896
KS-1	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1343	Homo Sapiens	Female	Unknown	no available	SIDM00555	SIDS01003	SIDP00897
KURAMOCHI	no available	Ovary	Ovarian Carcinoma	Ascites	High Grade Ovarian Serous Adenocarcinoma	CVCL_1345	Homo Sapiens	Female	East Asian	no available	SIDM00554	SIDS01004	SIDP00898
KY821	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Unknown	Acute Myelomonocytic Leukemia	CVCL_1346	Homo Sapiens	Male	East Asian	28	SIDM00553	SIDS01005	SIDP00899
KYAE-1	no available	Esophagus	Esophageal Carcinoma	Esophagus	Esophageal Adenocarcinoma	CVCL_1825	Homo Sapiens	Male	Unknown	60	SIDM00530	SIDS00911	SIDP00814
KYM-1	no available	Soft Tissue	Rhabdomyosarcoma	Neck	Alveolar Rhabdomyosarcoma	CVCL_3007	Homo Sapiens	Male	East Asian	no available	SIDM00552	SIDS01006	SIDP00900
KYSE-220	KY-220	Esophagus	Esophageal Squamous Cell Carcinoma	Oesophagus	Esophageal Squamous Cell Carcinoma	CVCL_1359	Homo Sapiens	Male	East Asian	78	SIDM00551	SIDS01007	SIDP00901
LC4-1	no available	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Peripheral blood	Childhood B Acute Lymphoblastic Leukemia	CVCL_1374	Homo Sapiens	Female	Unknown	13	SIDM00549	SIDS01009	SIDP00903
LK-2	no available	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_1377	Homo Sapiens	Male	Unknown	74	SIDM00548	SIDS01010	SIDP00904
LU-65	LU-65M;C-Lu65	Lung	Non-Small Cell Lung Carcinoma	Lung	Giant Cell Lung Carcinoma	CVCL_1392	Homo Sapiens	Male	East Asian	64	SIDM00547	SIDS01011	SIDP00905
MDA-MB-157	MDA-157	Breast	Breast Carcinoma	Pleural effusion	Breast Carcinoma	CVCL_0618	Homo Sapiens	Female	Black	44	SIDM00529	SIDS00912	SIDP00815
MDA-MB-361	MDA-361	Breast	Breast Carcinoma	Brain	Breast Adenocarcinoma	CVCL_0620	Homo Sapiens	Female	White	40	SIDM00528	SIDS00913	SIDP00816
MDST8	no available	Large Intestine	Colorectal Carcinoma	Unknown	Colon Carcinoma	CVCL_2588	Homo Sapiens	Unknown	Unknown	no available	SIDM00527	SIDS00914	SIDP00817
MEG-01	no available	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Bone Marrow	Chronic Myelogenous Leukemia	CVCL_0425	Homo Sapiens	Male	Unknown	55	SIDM00526	SIDS00915	SIDP00818
MG-63	no available	Bone	Osteosarcoma	Unknown	Osteosarcoma	CVCL_0426	Homo Sapiens	Male	Unknown	14	SIDM00525	SIDS00916	SIDP00819
MIA-PaCa-2	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Ductal Adenocarcinoma	CVCL_0428	Homo Sapiens	Male	White	65	SIDM00505	SIDS00917	SIDP00820
MLMA	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Peritoneal effusion	Hairy Cell Leukemia	CVCL_1419	Homo Sapiens	Female	East Asian	32	SIDM00561	SIDS01015	SIDP00909
MOG-G-CCM	GO-G-CCM	Central Nervous System	Glioma	Brain	Anaplastic Astrocytoma	CVCL_2613	Homo Sapiens	Unknown	Unknown	no available	SIDM00532	SIDS00918	SIDP00821
MRK-nu-1	no available	Breast	Breast Carcinoma	Mammary gland	Breast Carcinoma	CVCL_1428	Homo Sapiens	Female	Unknown	46	SIDM00562	SIDS01016	SIDP00910
Mewo	Mevo;SK-MEL-MeWo;BI-Mel;EST50	Skin	Melanoma	Lymph node	Melanoma	CVCL_0445	Homo Sapiens	Male	White	78	SIDM00545	SIDS01013	SIDP00907
NCI-BL2122	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_2651	Homo Sapiens	Female	White	46	SIDM00701	SIDS00278	SIDP00228
OV-17R	no available	Ovary	Ovarian Carcinoma	Ascites	Ovarian Adenocarcinoma	CVCL_2672	Homo Sapiens	Female	Unknown	50	SIDM00476	SIDS00926	SIDP00829
U-CH2	no available	Bone	Other Solid Cancers	Sacral bone	Sacral Chordoma	CVCL_4989	Homo Sapiens	Female	White	72	SIDM01185	SIDS00420	SIDP00362
JURL-MK2	no available	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	Peripheral Blood	Chronic Myelogenous Leukemia	CVCL_2087	Homo Sapiens	Male	Unknown	73	SIDM01014	SIDS00541	SIDP00475
Hs-294-T	no available	Skin	Melanoma	Lymph node	Melanoma	CVCL_0331	Homo Sapiens	Male	White	56	SIDM00800	SIDS00064	SIDP00049
WM-164	no available	Skin	Melanoma	Unknown	Melanoma	CVCL_7928	Homo Sapiens	Male	Unknown	22	SIDM00802	SIDS00062	SIDP00048
HTK-	no available	Bone	Osteosarcoma	Unknown	Osteosarcoma	CVCL_2522	Homo Sapiens	Female	White	no available	SIDM00805	SIDS00059	SIDP00046
PLB-985	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Unknown	Adult Acute Myeloid Leukemia	CVCL_2162	Homo Sapiens	Female	White	no available	SIDM00811	SIDS00036	SIDP00028
COLO-206F	no available	Large Intestine	Colorectal Carcinoma	Ascites	Colon Adenocarcinoma	CVCL_1988	Homo Sapiens	Male	White	70	SIDM00822	SIDS00003	SIDP00002
COLO-200	no available	Large Intestine	Non-Cancerous	Colon	Non-Cancerous	CVCL_9977	Homo Sapiens	Male	White	70	SIDM00824	SIDS00005	SIDP00002
COLO-197	no available	Haematopoietic and Lymphoid	Non-Cancerous	Peripheral Blood	Non-Cancerous	CVCL_9976	Homo Sapiens	Male	White	70	SIDM00825	SIDS00004	SIDP00002
MEC-2	no available	Haematopoietic and Lymphoid	Other Blood Cancers	Unknown	Chronic Lymphocytic Leukemia	CVCL_1871	Homo Sapiens	Male	White	62	SIDM00827	SIDS00002	SIDP00001
PEAZ-1	no available	Soft Tissue	Other Solid Cancers	Unknown	Fibrosarcoma	CVCL_8437	Homo Sapiens	Male	White	35	SIDM00830	SIDS00016	SIDP00012
NCOL-1	no available	Large Intestine	Colorectal Carcinoma	Left supraclavicular region	Colon Adenocarcinoma	CVCL_8375	Homo Sapiens	Male	White	56	SIDM00838	SIDS00027	SIDP00020
TDL-4	no available	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Unknown	Epstein-Barr Virus-Related Burkitt s Lymphoma	CVCL_8431	Homo Sapiens	Male	Black	11	SIDM00843	SIDS00022	SIDP00017
HuT-78	NCI-H78	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Unknown	Mycosis Fungoides and Sezary Syndrome	CVCL_0337	Homo Sapiens	Male	White	53	SIDM00851	SIDS00128	SIDP00104
EB-1	Epstein-Barr-1	Haematopoietic and Lymphoid	Burkitt's Lymphoma	Upper maxilla	Epstein-Barr Virus-Related Burkitt s Lymphoma	CVCL_2027	Homo Sapiens	Female	Black	9	SIDM00862	SIDS00117	SIDP00093
HCC1428-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1253	Homo Sapiens	Female	White	49	SIDM00880	SIDS00137	SIDP00109
SK-N-BE-2	no available	Peripheral Nervous System	Neuroblastoma	Bone marrow	Neuroblastoma	CVCL_0528	Homo Sapiens	Male	Unknown	2	SIDM00894	SIDS00084	SIDP00067
SK-BR-3	no available	Breast	Breast Carcinoma	Pleural Effusion	Breast Adenocarcinoma	CVCL_0033	Homo Sapiens	Female	White	43	SIDM00897	SIDS00081	SIDP00064
Hep-G2	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatoblastoma	CVCL_0027	Homo Sapiens	Male	White	15	SIDM00904	SIDS00090	SIDP00073
C-4-II	no available	Cervix	Cervical Carcinoma	Unknown	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_1095	Homo Sapiens	Female	White	41	SIDM00906	SIDS00092	SIDP00074
COLO-699	no available	Lung	Other Solid Cancers	Unknown	Lung Carcinoma	CVCL_1992	Homo Sapiens	Female	Unknown	57	SIDM00911	SIDS00106	SIDP00084
COLO-699N	no available	Lung	Other Solid Cancers	Unknown	Lung Carcinoma	CVCL_1993	Homo Sapiens	Female	Unknown	57	SIDM00912	SIDS00105	SIDP00084
no-10	Onda 10;Case 6	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_3075	Homo Sapiens	Male	Unknown	62	SIDM00574	SIDS01023	SIDP00917
NCI-H2073	no available	Lung	Non-Small Cell Lung Carcinoma	Lung	Lung Adenocarcinoma	CVCL_1521	Homo Sapiens	Female	White	47	SIDM00757	SIDS00260	SIDP00215
NY	no available	Bone	Osteosarcoma	Femur	Osteosarcoma	CVCL_1613	Homo Sapiens	Male	Unknown	no available	SIDM00569	SIDS01028	SIDP00922
GB-1	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1227	Homo Sapiens	Male	Unknown	35	SIDM00581	SIDS00958	SIDP00858
COR-L95	no available	Lung	Small Cell Lung Carcinoma	Bronchus	Small Cell Lung Carcinoma	CVCL_2418	Homo Sapiens	Male	Unknown	64	SIDM00521	SIDS00898	SIDP00801
HARA	KCC-C1	Lung	Squamous Cell Lung Carcinoma	Unknown	Squamous Cell Lung Carcinoma	CVCL_2914	Homo Sapiens	Male	East Asian	57	SIDM00598	SIDS00960	SIDP00860
HO-1-u-1	Ueda-1	Head and Neck	Oral Cavity Carcinoma	Mouth floor	Oral Cavity Squamous Cell Carcinoma	CVCL_2784	Homo Sapiens	Male	Unknown	72	SIDM00591	SIDS00967	SIDP00865
HSC-2	no available	Head and Neck	Oral Cavity Carcinoma	Mouth	Oral Cavity Squamous Cell Carcinoma	CVCL_1287	Homo Sapiens	Male	Unknown	69	SIDM00590	SIDS00968	SIDP00866
HSC-3	no available	Head and Neck	Oral Cavity Carcinoma	Tongue	Tongue Squamous Cell Carcinoma	CVCL_1288	Homo Sapiens	Male	Unknown	64	SIDM00589	SIDS00969	SIDP00867
HuCCT1	no available	Biliary Tract	Biliary Tract Carcinoma	Bile duct	Intrahepatic Cholangiocarcinoma	CVCL_0324	Homo Sapiens	Male	Unknown	no available	SIDM00587	SIDS00971	SIDP00869
HuH-7	JTC-39	Liver	Hepatocellular Carcinoma	Unknown	Hepatocellular Carcinoma	CVCL_0336	Homo Sapiens	Male	East Asian	57	SIDM00585	SIDS00973	SIDP00871
HuO-3N1	no available	Bone	Osteosarcoma	Ilium	Osteosarcoma	CVCL_1297	Homo Sapiens	Female	Unknown	15	SIDM00584	SIDS00974	SIDP00872
HuO9	Hu09	Bone	Osteosarcoma	Unknown	Osteosarcoma	CVCL_1298	Homo Sapiens	Female	East Asian	13	SIDM00599	SIDS00975	SIDP00873
IHH-4	no available	Thyroid	Thyroid Gland Carcinoma	Lymph node	Papillary Thyroid Carcinoma	CVCL_2960	Homo Sapiens	Male	East Asian	75	SIDM00600	SIDS00976	SIDP00874
JHH-2	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatocellular Carcinoma	CVCL_2786	Homo Sapiens	Male	East Asian	57	SIDM00617	SIDS00980	SIDP00877
JHH-4	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatocellular Carcinoma	CVCL_2787	Homo Sapiens	Male	East Asian	51	SIDM00616	SIDS00981	SIDP00878
JHH-6	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatocellular Carcinoma	CVCL_2788	Homo Sapiens	Female	East Asian	57	SIDM00615	SIDS00982	SIDP00879
KINGS-1	no available	Central Nervous System	Glioma	Unknown	Anaplastic Astrocytoma	CVCL_1328	Homo Sapiens	Male	Unknown	no available	SIDM00612	SIDS00985	SIDP00882
KMRC-1	no available	Kidney	Kidney Carcinoma	Kidney	Clear Cell Renal Cell Carcinoma	CVCL_2983	Homo Sapiens	Male	East Asian	no available	SIDM00611	SIDS00987	SIDP00884
KMRC-20	no available	Kidney	Kidney Carcinoma	Kidney	Clear Cell Renal Cell Carcinoma	CVCL_2986	Homo Sapiens	Unknown	East Asian	no available	SIDM00609	SIDS00988	SIDP00885
KNS-42	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_0378	Homo Sapiens	Male	Unknown	16	SIDM00607	SIDS00990	SIDP00887
KNS-62	no available	Lung	Squamous Cell Lung Carcinoma	Brain	Squamous Cell Lung Carcinoma	CVCL_1335	Homo Sapiens	Male	Unknown	49	SIDM00606	SIDS00991	SIDP00888
KON	no available	Head and Neck	Oral Cavity Carcinoma	Oral floor	Oral Cavity Squamous Cell Carcinoma	CVCL_3001	Homo Sapiens	Male	East Asian	76	SIDM00604	SIDS00993	SIDP00890
CEMC2	no available	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Unknown	Childhood T Acute Lymphoblastic Leukemia	CVCL_3497	Homo Sapiens	Female	White	4	SIDM01250	SIDS00816	SIDP00729
KP-1N	no available	Pancreas	Pancreatic Carcinoma	Unknown	Pancreatic Ductal Adenocarcinoma	CVCL_3002	Homo Sapiens	Male	White	56	SIDM00583	SIDS00995	SIDP00892
KP-3	no available	Pancreas	Pancreatic Carcinoma	Liver	Pancreatic Adenosquamous Carcinoma	CVCL_3005	Homo Sapiens	Male	East Asian	75	SIDM00571	SIDS00998	SIDP00894
NB(TU)1-10	no available	Peripheral Nervous System	Neuroblastoma	Abdominal Mass	Neuroblastoma	CVCL_3041	Homo Sapiens	Female	East Asian	1	SIDM00579	SIDS01018	SIDP00912
NCI-BL1770	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_2644	Homo Sapiens	Male	White	57	SIDM00752	SIDS00243	SIDP00201
NH-12	no available	Peripheral Nervous System	Neuroblastoma	Adrenal Tissue	Neuroblastoma	CVCL_1605	Homo Sapiens	Male	Unknown	1	SIDM00577	SIDS01020	SIDP00914
NKM-1	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Adult Acute Myeloid Leukemia	CVCL_1607	Homo Sapiens	Male	Unknown	no available	SIDM00576	SIDS01021	SIDP00915
NMC-G1	no available	Central Nervous System	Glioma	Unknown	Astrocytoma	CVCL_1608	Homo Sapiens	Female	Unknown	no available	SIDM00575	SIDS01022	SIDP00916
NOMO-1	no available	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Bone marrow	Adult Acute Monocytic Leukemia	CVCL_1609	Homo Sapiens	Female	Unknown	34	SIDM00580	SIDS01025	SIDP00919
NUGC-4	no available	Stomach	Gastric Carcinoma	Paragastric Lymph Node	Signet Ring Cell Gastric Adenocarcinoma	CVCL_3082	Homo Sapiens	Female	Unknown	35	SIDM00570	SIDS01027	SIDP00921
ONS-76	no available	Central Nervous System	Other Solid Cancers	Unknown	Medulloblastoma	CVCL_1624	Homo Sapiens	Female	Unknown	2	SIDM00567	SIDS01030	SIDP00924
OSC-19	no available	Head and Neck	Oral Cavity Carcinoma	Lymph Node	Tongue Squamous Cell Carcinoma	CVCL_3086	Homo Sapiens	Male	East Asian	61	SIDM00566	SIDS01031	SIDP00925
OSC-20	no available	Head and Neck	Oral Cavity Carcinoma	Cervical lymph node	Oral Cavity Squamous Cell Carcinoma	CVCL_3087	Homo Sapiens	Female	East Asian	59	SIDM00565	SIDS01032	SIDP00926
OVISE	no available	Ovary	Ovarian Carcinoma	Innominate Bone	Ovarian Clear Cell Adenocarcinoma	CVCL_3116	Homo Sapiens	Female	East Asian	40	SIDM00564	SIDS01033	SIDP00927
huH-1	no available	Liver	Hepatocellular Carcinoma	Unknown	Hepatocellular Carcinoma	CVCL_2956	Homo Sapiens	Male	East Asian	53	SIDM00586	SIDS00972	SIDP00870
no-11	Onda 11;Case 3	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_3076	Homo Sapiens	Female	Unknown	64	SIDM00573	SIDS01024	SIDP00918
PL45	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Ductal Adenocarcinoma	CVCL_3567	Homo Sapiens	Male	White	no available	SIDM01115	SIDS00338	SIDP00284
NCI-H1092	no available	Lung	Small Cell Lung Carcinoma	Bone marrow	Small Cell Lung Carcinoma	CVCL_1454	Homo Sapiens	Male	White	67	SIDM00653	SIDS00212	SIDP00173
HCC1428	no available	Breast	Breast Carcinoma	Pleural effusion	Breast Adenocarcinoma	CVCL_1252	Homo Sapiens	Female	White	49	SIDM00881	SIDS00136	SIDP00109
D-247MG	no available	Central Nervous System	Glioblastoma	Unknown	Gliosarcoma	CVCL_1153	Homo Sapiens	Female	Unknown	no available	SIDM00622	SIDS00571	SIDP00504
D-336MG	no available	Central Nervous System	Glioblastoma	Unknown	Glioblastoma	CVCL_1156	Homo Sapiens	Male	Unknown	no available	SIDM00620	SIDS00573	SIDP00506
EW-13	IARC-EW13	Bone	Ewing's Sarcoma	Unknown	Ewing's Sarcoma	CVCL_1211	Homo Sapiens	Male	Unknown	no available	SIDM00621	SIDS00585	SIDP00517
G-292-Clone-A141B1	no available	Bone	Osteosarcoma	Bone	Osteosarcoma	CVCL_2909	Homo Sapiens	Female	White	9	SIDM00858	SIDS00121	SIDP00097
HCC1954-BL	no available	Haematopoietic and Lymphoid	Non-Cancerous	Unknown	Non-Cancerous	CVCL_1260	Homo Sapiens	Female	South Asian	61	SIDM00871	SIDS00146	SIDP00115
HCC38	HCC0038	Breast	Breast Carcinoma	Mammary gland/duct	Ductal Breast Carcinoma	CVCL_1267	Homo Sapiens	Female	White	50	SIDM00675	SIDS00152	SIDP00119
HCC70	HCC0070	Breast	Breast Carcinoma	Mammary gland/duct	Ductal Breast Carcinoma	CVCL_1270	Homo Sapiens	Female	Black	49	SIDM00673	SIDS00154	SIDP00120
HH	no available	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Peripheral Blood	Cutaneous T-Cell Lymphoma	CVCL_1280	Homo Sapiens	Male	White	61	SIDM00671	SIDS00156	SIDP00122
HPAC	no available	Pancreas	Pancreatic Carcinoma	Pancreas	Pancreatic Adenocarcinoma	CVCL_3517	Homo Sapiens	Female	White	64	SIDM00670	SIDS00157	SIDP00123
HPAF-II	HPAF-2;HPAF/CD18;CD18/HPAF;HPAF-II/CD18	Pancreas	Pancreatic Carcinoma	Peritoneal ascitic fluid 	Pancreatic Ductal Adenocarcinoma	CVCL_0313	Homo Sapiens	Male	White	44	SIDM00669	SIDS00158	SIDP00124
HT-1197	HT 1197.T	Bladder	Bladder Carcinoma	Urinary Bladder	Bladder Carcinoma	CVCL_1291	Homo Sapiens	Male	White	44	SIDM00676	SIDS00167	SIDP00133
HT-1376	HT 1376.T	Bladder	Bladder Carcinoma	Urinary Bladder	Bladder Carcinoma	CVCL_1292	Homo Sapiens	Female	White	58	SIDM00678	SIDS00168	SIDP00134
Hs-633T	MBA/8387;MB 8387;Line 8387;HS 8387	Soft Tissue	Other Sarcomas	Unknown	Fibrosarcoma	CVCL_0832	Homo Sapiens	Female	Unknown	no available	SIDM00667	SIDS00160	SIDP00126
Hs-683	Hs 683.T	Central Nervous System	Glioma	Left temporal lobe	Oligodendroglioma	CVCL_0844	Homo Sapiens	Male	White	76	SIDM00666	SIDS00161	SIDP00127
Hs-746T	no available	Stomach	Gastric Carcinoma	Left leg	Gastric Adenocarcinoma	CVCL_0333	Homo Sapiens	Male	White	74	SIDM00665	SIDS00162	SIDP00128
JSC-1	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Unknown	Primary Effusion Lymphoma	CVCL_3728	Homo Sapiens	Male	Unknown	no available	SIDM00688	SIDS00177	SIDP00142
KMH-2	no available	Thyroid	Thyroid Gland Carcinoma	Thyroid	Thyroid Gland Anaplastic Carcinoma	CVCL_S641	Homo Sapiens	Male	East Asian	71	SIDM00619	SIDS00986	SIDP00883
LS1034	no available	Large Intestine	Colorectal Carcinoma	Cecum	Cecum Adenocarcinoma	CVCL_1382	Homo Sapiens	Male	White	54	SIDM00681	SIDS00184	SIDP00149
LS-513	no available	Large Intestine	Colorectal Carcinoma	Cecum	Cecum Adenocarcinoma	CVCL_1386	Homo Sapiens	Male	White	63	SIDM00677	SIDS00187	SIDP00152
M059J	Mo 59J	Central Nervous System	Glioblastoma	Brain	Glioblastoma	CVCL_0400	Homo Sapiens	Male	Unknown	33	SIDM00659	SIDS00188	SIDP00153
MC116	no available	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Ascites	B-Cell Non-Hodgkin's Lymphoma	CVCL_1399	Homo Sapiens	Male	Unknown	0	SIDM00637	SIDS00190	SIDP00154
MDA-MB-330	MDA-330	Breast	Breast Carcinoma	Pleural effusion	Breast Carcinoma	CVCL_0619	Homo Sapiens	Female	White	43	SIDM00631	SIDS00196	SIDP00159
MDA-MB-468	MDA-468	Breast	Breast Carcinoma	Pleural effusion	Breast Adenocarcinoma	CVCL_0419	Homo Sapiens	Female	Black	51	SIDM00628	SIDS00199	SIDP00162
ME-180	no available	Cervix	Cervical Carcinoma	Omentum	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_1401	Homo Sapiens	Female	White	66	SIDM00627	SIDS00200	SIDP00163
MES-SA	no available	Uterus	Other Sarcomas	Uterus	Uterine Corpus Sarcoma	CVCL_1404	Homo Sapiens	Female	White	56	SIDM00625	SIDS00202	SIDP00164
MS751	no available	Cervix	Cervical Carcinoma	Lymph node	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma	CVCL_4996	Homo Sapiens	Female	White	47	SIDM00638	SIDS00205	SIDP00167
MSTO-211H	no available	Lung	Mesothelioma	Pleural effusion	Pleural Biphasic Mesothelioma	CVCL_1430	Homo Sapiens	Male	White	62	SIDM00640	SIDS00206	SIDP00168
MV-4-11	MV4II	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Peripheral blood	Childhood Acute Differentiated Monocytic Leukemia	CVCL_0064	Homo Sapiens	Male	Unknown	10	SIDM00657	SIDS00207	SIDP00169
