cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
CFPAC-1	CFPAC-1	CVCL_1119	CFPAC-1 cell	Homo Sapiens	Pancreas	Liver	26Y	Adult	Male	Caucasian	Pancreatic ductal adenocarcinoma	no available	cell	CF PAC1; CF-PAC-1 CELL; CF-PAC1; CFPAC1; CFPAC CELL; CF PAC-1; CFPAC1 CELL; CFPAC; CFPAC-1	curated
CGTH-W-1	CGTH-W-1	CVCL_1120	CGTH-W1 cell	Homo Sapiens	Thyroid	Thyroid gland	59Y	Adult	Male	Caucasian	Thyroid gland squamous cell carcinoma	no available	cell	CGTHW1; CGTH W-1; CGTH-W1; CGTH W-1 CELL; CGTH-W-1 CELL	curated
ChaGo-K-1	ChaGo-K-1	CVCL_1121	ChaGo-K-1 cell	Homo Sapiens	Lung	Hypodermis; Bronchus	45Y	Adult	Male	Caucasian	Bronchogenic carcinoma	no available	cell	CHAGO-K-1; CHAGO-K1; CHAGOK1; CHAGO K-1	curated
CHL-1	CHL-1	CVCL_1122	CHL-1 cell	Homo Sapiens	Skin	Pleural effusion	36Y	Adult	Female	Caucasian	Melanoma	no available	cell	CHL1	curated
CHP-126	CHP-126	CVCL_1123	CHP-126 cell	Homo Sapiens	Peripheral Nervous System	Retroperitoneal space	1Y	Infant	Female	Caucasian	Neuroblastoma	no available	cell	CHILDREN'S HOSPITAL OF PHILADELPHIA-126; CHP 126; CHP126 CELL; CHP126	curated
CHP-134	CHP-134	CVCL_1124	CHP-134 cell	Homo Sapiens	Adrenal Gland	Adrenal gland	1Y	Infant	Male	Caucasian	Adrenal gland neuroblastoma	no available	cell	CHP134; CHP 134; CHILDREN'S HOSPITAL OF PHILADELPHIA-134; CHP134 CELL; CHP_134	curated
CHP-212	CHP-212	CVCL_1125	no available	Homo Sapiens	Brain	Brain	1Y8M	no available	Male	Caucasian	Neuroblastoma	no available	cell	CHP212; CHP 212; CHILDREN'S HOSPITAL OF PHILADELPHIA-212; NB-9; NB9	curated
CML-T1	CML-T1	CVCL_1126	no available	Homo Sapiens	Blood	Peripheral blood	36Y	Adult	Female	Japanese	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	CMLT-1; CML T1; CMLT1	curated
COLO-668	COLO 668	CVCL_1128	no available	Homo Sapiens	Lung	Brain	47Y	Adult	Female	no available	Small cell lung carcinoma	no available	cell	COLORADO 668; COLO 668; COLO-668; COLO668	curated
COLO-741	COLO 741	CVCL_1133	no available	Homo Sapiens	Skin	Pelvis; Pelvic wall	69Y	Elderly	Female	Caucasian	Melanoma	no available	cell	COLORADO 741; COLO741; COLO-741	curated
COR-L105	COR-L105	CVCL_1138	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	Caucasian	Lung adenocarcinoma	no available	cell	CORL105; COR-L 105	curated
COR-L23	COR-L23	CVCL_1139	no available	Homo Sapiens	Lung	Pleural effusion	62Y	Adult	Male	Caucasian	Lung large cell carcinoma	no available	cell	COR-L23P; CORL23; COR-L23/P; L23/P	curated
COR-L279	COR-L279	CVCL_1140	no available	Homo Sapiens	Lung	Lymph node	63Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	CORL279; COR L279; LUCL4	curated
COR-L88	COR-L88	CVCL_1141	no available	Homo Sapiens	Lung	Pleural effusion	55Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	COR L88; CORL88	curated
CP50-MEL-B	CP50-MEL-B	CVCL_1143	no available	Homo Sapiens	Skin	no available	no available	no available	Male	Caucasian	Melanoma	no available	cell	CP50MELB; CP50-MEL	curated
CP66-MEL	CP66-MEL	CVCL_1144	no available	Homo Sapiens	Skin	no available	no available	no available	Male	Caucasian	Melanoma	no available	cell	CP66MEL; CP66	curated
CP67-MEL	CP67-MEL	CVCL_1145	no available	Homo Sapiens	Skin	no available	no available	no available	no available	Caucasian	Melanoma	no available	cell	CP67MEL	curated
CPC-N	CPC-N	CVCL_1146	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	Caucasian	Small cell lung carcinoma	no available	cell	CPC.N; CPCN; CPN	curated
CRO-AP2	CRO-AP2	CVCL_1147	CRO-AP/2 cell	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	49Y	Adult	Male	Caucasian	Primary effusion b-cell non-hodgkin lymphoma	no available	cell	AP2; CRO-AP/2; CROAP2	curated
CTB-1	CTB-1	CVCL_1149	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pericardial effusion	70Y	Elderly	Male	Japanese	Diffuse large b-cell lymphoma	no available	cell	CTB1	curated
CTV-1	CTV-1	CVCL_1150	no available	Homo Sapiens	Blood	Peripheral blood	no available	no available	Male	Caucasian	Adult t acute lymphoblastic leukemia	T cell	cell	CTV1	curated
CW-2	CW-2	CVCL_1151	CW-2 cell	Homo Sapiens	Colon	Colon	55Y	Adult	Female	Japanese	Colon adenocarcinoma	no available	cell	CW2; CW2 CELL	curated
D-245MG	D-245MG	CVCL_1152	no available	Homo Sapiens	Brain	Brain	70Y	Elderly	Male	Caucasian	Glioblastoma	no available	cell	D-245 MG; D245 MG; D245MG	curated
D-247MG	D-247MG	CVCL_1153	no available	Homo Sapiens	Brain	Brain	80Y	Elderly	Female	Caucasian	Gliosarcoma	no available	cell	D-247 MG; D-247-MG; D247MG	curated
D-263MG	D-263MG	CVCL_1154	no available	Homo Sapiens	Brain	Brain	71Y	Elderly	Female	Caucasian	Glioblastoma	no available	cell	D-263 MG; D263MG	curated
D-283MED	D283 Med	CVCL_1155	D-283MED cell	Homo Sapiens	Peritoneum	Ascites	6Y	Children	Male	Caucasian	Medulloblastoma non-wnt/non-shh group 3	no available	cell	D-283 MED; D283MED; D283; D283-MED CELL; MED 283; D283_MED; D-283; D-283MED; D283 MED CELL; D283MED CELL; D283 MED; H283; D283-MED; D-283 MED-C	curated
D-336MG	D-336MG	CVCL_1156	no available	Homo Sapiens	Brain	Brain	68Y	Elderly	Male	Caucasian	Gliosarcoma	no available	cell	D336MG; D-336 MG	curated
D-384MED	D384 Med	CVCL_1157	no available	Homo Sapiens	Brain	Cerebellum	1Y	Infant	Male	no available	Medulloblastoma non-wnt/non-shh group 3	no available	cell	D-384 MED; D-384 MED-C; D-384MED; H384; MED 384; D384MED	curated
D-392MG	D-392MG	CVCL_1158	no available	Homo Sapiens	Brain	Brain	no available	Adult	Female	Caucasian	Glioblastoma	no available	cell	D-392 MG; D392MG	curated
D-423MG	D-423MG	CVCL_1160	no available	Homo Sapiens	Brain	Brain	no available	Adult	Male	Caucasian	Glioblastoma	no available	cell	D423MG; D-423 MG	curated
D-458MED	D458 Med	CVCL_1161	no available	Homo Sapiens	Cerebrospinal Fluid	Cerebrospinal fluid	6Y-7Y	Children	no available	no available	Medulloblastoma	no available	cell	D-458 MED; D-458MED; D458MED; MED 458; D458; D-458	curated
D-502MG	D-502MG	CVCL_1162	no available	Homo Sapiens	Brain	Brain	no available	Adult	no available	Caucasian	Glioblastoma	no available	cell	D-502 MG; D502MG	curated
D-542MG	D-542MG	CVCL_1164	no available	Homo Sapiens	Brain	Brain	no available	Adult	Female	Asian	Glioblastoma	no available	cell	D542MG	curated
D-556MED	D556 Med	CVCL_1165	no available	Homo Sapiens	Brain	Brain	7Y	Children	Female	no available	Medulloblastoma non-wnt/non-shh group 3	no available	cell	D556; D-556; D556MED; D-556MED; H556; D-556 MED	curated
D-566MG	D-566MG	CVCL_1166	no available	Homo Sapiens	Brain	Brain	no available	Adult	Male	Caucasian	Glioblastoma	no available	cell	D566MG	curated
Daoy	Daoy	CVCL_1167	DAOY cell	Homo Sapiens	Brain	Posterior fossa; Cerebellum	4Y	Children	Male	Caucasian	Medulloblastoma shh activated and tp53 mutant	no available	cell	D-324MED; DAOY; D324; D324 MED; D-324 MED	curated
DB	DB	CVCL_1168	no available	Homo Sapiens	Ascites	Ascites	45Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	DB	curated
DBTRG-05MG	DBTRG-05MG	CVCL_1169	no available	Homo Sapiens	Brain	Brain	59Y	Adult	Female	Caucasian	Glioblastoma	no available	cell	DBTRG05MG; DBTRG; DBTRG.05MG	curated
DEL	DEL	CVCL_1170	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	12Y	Juvenile	Male	Caucasian	Alk-positive anaplastic large cell lymphoma	no available	cell	DEL	curated
Detroit562	Detroit 562	CVCL_1171	Detroit-562 cell	Homo Sapiens	Head and Neck	Pleural effusion	no available	no available	Female	Caucasian	Pharyngeal squamous cell carcinoma	no available	cell	DETROIT562; DETROIT-562; DET. 562; DETROIT 562 CELL; DETROIT 562; D562; DET 562; DET562	curated
DJM-1	DJM-1	CVCL_1172	no available	Homo Sapiens	Skin	Skin	87Y	Elderly	Female	Japanese	Skin squamous cell carcinoma	no available	cell	DJM1	curated
DK-MG	DK-MG	CVCL_1173	no available	Homo Sapiens	Brain	Right parietal lobe	67Y	Elderly	Female	Caucasian	Glioblastoma	no available	cell	DKMG	curated
DMS-114	DMS 114	CVCL_1174	DMS-114 cell	Homo Sapiens	Lung	Lung	68Y	Elderly	Male	Caucasian	Small cell lung carcinoma	no available	cell	DMS114; DARMOUTH MEDICAL SCHOOL 114; DMS-114; DMS 114 CELL; DMS114 CELL	curated
DMS-153	DMS 153	CVCL_1175	no available	Homo Sapiens	Lung	Liver	44Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	DARMOUTH MEDICAL SCHOOL 153; DMS153; DMS-153	curated
DMS-273	DMS 273	CVCL_1176	DMS-273 cell	Homo Sapiens	Lung	Pleural effusion	50Y	Adult	Female	Caucasian	Small cell lung carcinoma	no available	cell	DMS273 CELL; DARMOUTH MEDICAL SCHOOL 273; DMS-273; DMS273; DMS 273 CELL	curated
DMS-53	DMS 53	CVCL_1177	DMS-53 cell	Homo Sapiens	Lung	Lung	54Y	Adult	Male	Caucasian	Small cell lung carcinoma	no available	cell	DMS53; DMS 53 CELL; DARMOUTH MEDICAL SCHOOL 53; DMS-53; DMS53 CELL	curated
DMS-79	DMS 79	CVCL_1178	no available	Homo Sapiens	Lung	Pleural effusion	65Y	Elderly	Male	Caucasian	Small cell lung carcinoma	no available	cell	DARMOUTH MEDICAL SCHOOL 79; DMS79; DMS-79	curated
DOHH-2	DoHH2	CVCL_1179	no available	Homo Sapiens	Haematopoietic and Lymphoid	Pleural effusion	60Y	Adult	Male	Caucasian	Diffuse large b-cell lymphoma germinal center b-cell type	no available	cell	DOHH2; DOHH-2	curated
DOK	DOK	CVCL_1180	no available	Homo Sapiens	Mouth	Tongue	57Y	Adult	Male	Caucasian	Oral epithelial dysplasia	keratinocyte	cell	DYSPLASTIC ORAL KERATINOCYTE	curated
DoTc2-4510	DoTc2 4510	CVCL_1181	no available	Homo Sapiens	Cervix	Uterus	no available	no available	Female	Caucasian	Cervical carcinoma	epithelial cell of uterus	cell	DOTC24510; DOTC2-4510; DOTC2	curated
DSH1	DSH1	CVCL_1182	no available	Homo Sapiens	Bladder	Urinary bladder	48Y	Adult	Male	Japanese	Bladder carcinoma	no available	cell	DSH1	curated
DU-4475	DU4475	CVCL_1183	no available	Homo Sapiens	Breast	Skin	62Y	Adult	Female	Caucasian	Breast carcinoma	no available	cell	DU4475; DU-4475; DU 4475; DUKE UNIVERSITY 4475	curated
DV-90	DV-90	CVCL_1184	no available	Homo Sapiens	Lung	Pleural effusion	50Y	Adult	Male	Caucasian	Lung adenocarcinoma	no available	cell	DV90	curated
EB-3	EB3 [Human Burkitt lymphoma]	CVCL_1185	no available	Homo Sapiens	Haematopoietic and Lymphoid	Jaw; Maxilla; Bone	3Y	Children	Male	African; Ugandan	Burkitt lymphoma	B cell	cell	EPSTEIN-BARR-3; EB-3; GM04679	curated
EB2	EB2	CVCL_1186	no available	Homo Sapiens	Haematopoietic and Lymphoid	Ovary	7Y	Children	Female	African; Ugandan	Burkitt lymphoma	B cell	cell	EB-2; EPSTEIN-BARR-2	curated
EC-GI-10	EC-GI-10	CVCL_1187	no available	Homo Sapiens	Esophagus	Lymph node	65Y	Elderly	Male	Japanese	Esophageal squamous cell carcinoma	no available	cell	EC-GI; ECGI10	curated
ECC10	ECC10	CVCL_1188	no available	Homo Sapiens	Stomach	Liver; Stomach	73Y	Elderly	Male	Japanese	Gastric small cell carcinoma	no available	cell	ECC-10; ECC 10	curated
ECC12	ECC12	CVCL_1189	no available	Homo Sapiens	Stomach	Stomach	63Y	Adult	Male	Japanese	Gastric small cell carcinoma	no available	cell	ECC 12; ECC-12	curated
ECC4	ECC4	CVCL_1190	no available	Homo Sapiens	Large Intestine	Rectum	45Y	Adult	Male	Japanese	Colorectal carcinoma	no available	cell	ECC 4	curated
EFE-184	EFE-184	CVCL_1191	no available	Homo Sapiens	Endometrium	Ascites	69Y	Elderly	Female	Caucasian	Endometrial carcinoma	no available	cell	EFE184	curated
EFO-27	EFO-27	CVCL_1192	EFO-27 cell	Homo Sapiens	Ovary	Omentum	36Y	Adult	Female	Caucasian	Ovarian mucinous adenocarcinoma	no available	cell	EFO27; EFO 27 CELL; EFO 27; EFO27 CELL	curated
EGI-1	EGI-1	CVCL_1193	no available	Homo Sapiens	Biliary Tract	Bile duct	52Y	Adult	Male	Caucasian	Cholangiocarcinoma	no available	cell	EGI1; EGI-1	curated
EHEB	EHEB	CVCL_1194	EHEB cell	Homo Sapiens	Blood	Peripheral blood	69Y	Elderly	Female	Caucasian	Non-cancerous	no available	cell	EHEB	curated
EKVX	EKVX	CVCL_1195	EKVX cell	Homo Sapiens	Lung	no available	no available	no available	Male	Caucasian	Lung adenocarcinoma	no available	cell	EKVX	curated
EM-2	EM-2	CVCL_1196	EM-2 cell	Homo Sapiens	Bone Marrow	Bone marrow	5Y	Children	Female	Caucasian	 bcr-abl1 positive; Chronic myelogenous leukemia	no available	cell	EM2 CELL; EM2	curated
EPLC-272H	EPLC-272H	CVCL_1197	no available	Homo Sapiens	Lung	Lung	57Y	Adult	Male	Caucasian	Lung mucoepidermoid carcinoma	no available	cell	EPLC272H; EPIDERMOID LUNG CANCER-272H	curated
ES3	ES3	CVCL_1199	no available	Homo Sapiens	Bone	no available	12Y	Juvenile	Male	Caucasian	Ewing sarcoma	no available	cell	ES-3	curated
ES4	ES4	CVCL_1200	no available	Homo Sapiens	Bone	no available	18Y	Adult	Male	Caucasian	Ewing sarcoma	no available	cell	ES-4	curated
ES5	ES5	CVCL_1201	no available	Homo Sapiens	Bone	no available	16Y	Juvenile	Male	Caucasian	Ewing sarcoma	no available	cell	ES5	curated
ES6	ES6	CVCL_1202	no available	Homo Sapiens	Bone	no available	17Y	Juvenile	Male	Caucasian	Ewing sarcoma	no available	cell	ES-6	curated
ES7	ES7	CVCL_1203	no available	Homo Sapiens	Bone	no available	15Y	Juvenile	Male	Caucasian	Ewing sarcoma	no available	cell	ES-7	curated
ES8	ES8	CVCL_1204	no available	Homo Sapiens	Bone	no available	10Y	Children	Male	Caucasian	Ewing sarcoma	no available	cell	ES-8	curated
ESS-1	ESS-1	CVCL_1205	no available	Homo Sapiens	Endometrium	Endometrium	76Y	Elderly	Female	Caucasian	Endometrioid stromal sarcoma	stromal cell of endometrium	cell	ENDOMETRIAL STROMAL SARCOMA-1; ESS1	curated
ETK-1	ETK-1	CVCL_1206	no available	Homo Sapiens	Biliary Tract	Ascites	61Y	Adult	Female	Japanese	Intrahepatic cholangiocarcinoma	no available	cell	ETK1	curated
EVSA-T	Evsa-T	CVCL_1207	no available	Homo Sapiens	Breast	Ascites	58Y	Adult	Female	Caucasian	Breast carcinoma	no available	cell	EVSA/T; EVSA-T; EVSA T; EVSAT	curated
EW-1	EW-1	CVCL_1208	no available	Homo Sapiens	Bone	Pleural effusion	19Y	Adult	Male	Caucasian	Ewing sarcoma	no available	cell	EW1; IARC-EW 1; IARC-EW1; IARC-EW-1	curated
EW-11	EW-11	CVCL_1209	no available	Homo Sapiens	Bone	Mediastinal lymph node	11Y	Children	Female	no available	Ewing sarcoma	no available	cell	IARC-EW11; EW11; IARC-EW-11; IARC-EW 11	curated
EW-12	EW-12	CVCL_1210	no available	Homo Sapiens	Bone	no available	no available	no available	Female	no available	Ewing sarcoma	no available	cell	EW12; IARC-EW-12; IARC-EW12; IARC-EW 12	curated
EW-13	EW-13	CVCL_1211	no available	Homo Sapiens	Bone	no available	no available	no available	Male	no available	Ewing sarcoma	no available	cell	IARC-EW-13; EW13; IARC-EW13; IARC-EW 13	curated
EW-16	EW-16	CVCL_1212	no available	Homo Sapiens	Bone	no available	no available	no available	Male	Caucasian	Ewing sarcoma	no available	cell	IARC-EW-16; EW16; IARC-EW 16; IARC-EW16	curated
EW-18	EW-18	CVCL_1213	no available	Homo Sapiens	Bone	no available	no available	no available	no available	Caucasian	Ewing sarcoma	no available	cell	IARC-EW-18; EW18	curated
EW-22	EW-22	CVCL_1214	no available	Homo Sapiens	Bone	no available	no available	no available	no available	Caucasian	Ewing sarcoma	no available	cell	IARC-EW-22; EW22	curated
EW-24	EW-24	CVCL_1215	no available	Homo Sapiens	Bone	no available	no available	no available	no available	Caucasian	Ewing sarcoma	no available	cell	IARC-EW-24; EW24	curated
EW-3	EW-3	CVCL_1216	no available	Homo Sapiens	Bone	Pleural effusion	14Y	Juvenile	Male	Caucasian	Ewing sarcoma	no available	cell	EW3; IARC-EW 3; IARC-EW3; IARC-EW-3	curated
EW-7	EW-7	CVCL_1217	no available	Homo Sapiens	Bone	Pleural effusion	20Y	Adult	Female	Caucasian	Ewing sarcoma	no available	cell	IARC-EW7; IARC-EW-7; EW7; IARC-EW 7	curated
FADU	FaDu	CVCL_1218	FaDu cell	Homo Sapiens	Head and Neck	Hypopharynx; Pharynx	56Y	Adult	Male	Indian	Hypopharyngeal squamous cell carcinoma	no available	cell	FADU	curated
FTC-133	FTC-133	CVCL_1219	FTC-133 cell	Homo Sapiens	Thyroid	Thyroid gland	42Y	Adult	Male	Caucasian	Thyroid gland follicular carcinoma	no available	cell	FTC133; FTC133 CELL	curated
G-361	G-361	CVCL_1220	G-361 cell	Homo Sapiens	Skin	Skin	31Y	Adult	Male	Caucasian	Melanoma	no available	cell	G361; G361MEL; G361-MEL	curated
G-402	G-402	CVCL_1221	G-402 cell	Homo Sapiens	Soft Tissue	Kidney	9M	no available	Female	Caucasian	Kidney neoplasm	no available	cell	G402	curated
GA-10	GA-10	CVCL_1222	no available	Homo Sapiens	Blood	Peripheral blood	41Y	Adult	Male	Caucasian	Burkitt lymphoma	B cell	cell	GA10	curated
GA-10-Clone-20	GA-10 clone 20	CVCL_1223	no available	Homo Sapiens	Blood	Peripheral blood	41Y	Adult	Male	Caucasian	Burkitt lymphoma	B cell	cell	GA-10-CLONE-20; GA-10 (CLONE 20)	curated
GA-10-Clone-4	GA-10 clone 4	CVCL_1224	no available	Homo Sapiens	Blood	Peripheral blood	41Y	Adult	Male	Caucasian	Burkitt lymphoma	B cell	cell	GA-10-CLONE-4; GA-10 (CLONE 4)	curated
GAK	GAK	CVCL_1225	no available	Homo Sapiens	Skin	Inguinal lymph node	86Y	Elderly	Female	Japanese	Vulvar melanoma	no available	cell	GAK	curated
GAMG	GaMG	CVCL_1226	GaMG cell	Homo Sapiens	Brain	Brain	42Y	Adult	Female	Caucasian	Glioblastoma	no available	cell	GA-MG; GAMG	curated
GB-1	GB-1	CVCL_1227	no available	Homo Sapiens	Brain	Brain	35Y	Adult	Male	Japanese	Glioblastoma	no available	cell	GB1	curated
GCIY	GCIY	CVCL_1228	no available	Homo Sapiens	Stomach	Ascites	39Y	Adult	Female	Japanese	Gastric adenocarcinoma	no available	cell	GCIY	curated
GCT	GCT	CVCL_1229	no available	Homo Sapiens	Soft Tissue	Pleural effusion; Lung	29Y	Adult	Male	Caucasian	Undifferentiated pleomorphic sarcoma	no available	cell	GIANT CELL TUMOR	curated
GDM-1	GDM-1	CVCL_1230	no available	Homo Sapiens	Blood	Peripheral blood	66Y	Elderly	Female	Caucasian	Acute myeloid leukemia	no available	cell	GDM1	curated
GI-1	GI-1	CVCL_1231	no available	Homo Sapiens	Brain	no available	61Y	Adult	Male	Japanese	Gliosarcoma	no available	cell	GI1	curated
GI-ME-N	GI-ME-N	CVCL_1232	GI-ME-N cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	2Y	Infant	Female	Caucasian	Neuroblastoma	no available	cell	GASLINI INSTITUTE-ME-NEUROBLASTOMA; GIMEN1; GI-ME-N; GI-MEN; GIMEN	curated
GMS-10	GMS-10	CVCL_1233	no available	Homo Sapiens	Brain	Brain	49Y	Adult	Male	Caucasian	Glioblastoma	no available	cell	GMS10	curated
GOTO	GOTO	CVCL_1234	GOTO cell	Homo Sapiens	Adrenal Gland	Adrenal gland	1Y1M	no available	Male	Japanese	Adrenal gland neuroblastoma	no available	cell	GOTO	curated
GP5d	GP5d	CVCL_1235	no available	Homo Sapiens	Colon	Colon	71Y	Elderly	Female	Caucasian	Colon adenocarcinoma	no available	cell	GP5D	curated
GR-ST	GR-ST	CVCL_1236	no available	Homo Sapiens	Blood	Peripheral blood	10Y	Children	Male	Japanese	B-cell childhood acute lymphoblastic leukemia	no available	cell	GRST	curated
GT3TKB	GT3TKB	CVCL_1237	no available	Homo Sapiens	Lung	Pleural effusion	no available	no available	Male	Japanese	Squamous cell lung carcinoma	no available	cell	GT3TKB	curated
H-EMC-SS	H-EMC-SS	CVCL_1238	no available	Homo Sapiens	Bone	Muscle	77Y	Elderly	Female	Japanese	Extraskeletal myxoid chondrosarcoma	no available	cell	HEMC-SS; HEMCSS	curated
H9	H9	CVCL_1240	H-9 cell	Homo Sapiens	Blood	Peripheral blood	53Y	Adult	Male	Caucasian	Sezary syndrome	T cell	cell	HT(H9); HT CLONE H9; H 9 CELL; H9 CELL; HT(H9) CELL; H-9; H 9; HT CLONE H9 CELL	curated
HA7-RCC	HA7-RCC	CVCL_1241	no available	Homo Sapiens	Kidney	no available	no available	no available	Male	Caucasian	Renal cell carcinoma	no available	cell	HA7RCC	curated
HAL-01	HAL-01	CVCL_1242	HAL-01 cell	Homo Sapiens	Blood	Peripheral blood	17Y	Juvenile	Female	Japanese	B-cell acute lymphoblastic leukemia	no available	cell	HAL-O1; HAL-1; HAL01; HALO1	curated
HC-1	HC-1	CVCL_1243	no available	Homo Sapiens	Blood	Peripheral blood	56Y	Adult	Male	Caucasian	Hairy cell leukemia	no available	cell	HC1	curated
HCC1143	HCC1143	CVCL_1245	no available	Homo Sapiens	Breast	Mammary gland duct	52Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	HCC-1143; HAMON CANCER CENTER 1144	curated
HCC1143-BL	HCC1143 BL	CVCL_1246	no available	Homo Sapiens	Blood	Peripheral blood	52Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	HCC1143BL; HAMON CANCER CENTER 1143 BL; HCC1143-BL; HCC-1143BL	curated
HCC1187	HCC1187	CVCL_1247	no available	Homo Sapiens	Breast	Mammary gland	41Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	HAMON CANCER CENTER 1187; HCC-1187	curated
HCC1187-BL	HCC1187 BL	CVCL_1248	no available	Homo Sapiens	Blood	Peripheral blood	41Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	HCC1187BL; HCC-1187BL; HCC1187-BL; HAMON CANCER CENTER 1187 BL	curated
HCC1395	HCC1395	CVCL_1249	HCC-1395 cell	Homo Sapiens	Breast	Mammary gland duct	43Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	HCC-1395; HAMON CANCER CENTER 1395; SCC-1395; HCC1395 CELL	curated
HCC1395-BL	HCC1395 BL	CVCL_1250	no available	Homo Sapiens	Blood	Peripheral blood	43Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	HCC1395-BL; SCC-1395BL; HCC1395BL; HCC-1395BL; HAMON CANCER CENTER 1395 BL	curated
HCC1419	HCC1419	CVCL_1251	no available	Homo Sapiens	Breast	Mammary gland	42Y	Adult	Female	Other	Breast ductal carcinoma	no available	cell	HAMON CANCER CENTER 1419; HCC-1419	curated
HCC1428	HCC1428	CVCL_1252	no available	Homo Sapiens	Breast	Pleural effusion	49Y	Adult	Female	Caucasian	Breast adenocarcinoma	no available	cell	HAMON CANCER CENTER 1428; HCC-1428	curated
HCC1428-BL	HCC1428 BL	CVCL_1253	no available	Homo Sapiens	Blood	Peripheral blood	49Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	HCC1428-BL; HCC1428BL; HCC-1428BL; HAMON CANCER CENTER 1428 BL	curated
HCC1500	HCC1500	CVCL_1254	HCC-1500 cell	Homo Sapiens	Breast	Mammary gland duct	32Y	Adult	Female	African American	Breast ductal carcinoma	no available	cell	HCC-1500; HCC1500 CELL; HAMON CANCER CENTER 1500	curated
HCC1569	HCC1569	CVCL_1255	HCC-1569 cell	Homo Sapiens	Breast	Mammary gland	70Y	Elderly	Female	African American	Breast ductal carcinoma	no available	cell	HCC-1569; NAN; HCC 1569 CELL; HCC1569 CELL; HAMON CANCER CENTER 1569	curated
HCC1599	HCC1599	CVCL_1256	no available	Homo Sapiens	Breast	Mammary gland duct	44Y	Adult	Female	Caucasian	Breast ductal carcinoma	no available	cell	HCC-1599; HAMON CANCER CENTER 1599	curated
HCC1599-BL	HCC1599 BL	CVCL_1257	no available	Homo Sapiens	Blood	Peripheral blood	44Y	Adult	Female	Caucasian	Non-cancerous	B cell	cell	HCC-1599BL; HAMON CANCER CENTER 1599 BL; HCC1599BL; HCC1599-BL	curated
